image_id,news_id,image_url,alt_text
1,1,https://directorsblog.nih.gov/wp-content/uploads/2021/09/vaccine-booster3.jpg,Image related to: Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters
2,2,https://s202.q4cdn.com/986123435/files/images/thumbs/240103-Newsroom-Holiday-travel.jpg,"Image related to: American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video"
3,3,https://www.boredpanda.com/blog/wp-content/uploads/2022/05/1158192352181260288-png__700.jpg,Image related to: 23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23)
4,4,https://static.boredpanda.com/blog/wp-content/uploads/2020/02/parenting-jokes-tweets-fb56.png,Image related to: The Funniest Tweets From Parents This Week (Sept. 17-23)
5,5,"https://i0.wp.com/www.bridgedetroit.com/wp-content/uploads/2022/06/lead-photo.jpg?fit=1200,800&ssl=1",Image related to: Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer
6,6,https://www.bondcleaningindarwin.com.au/wp-content/uploads/2021/02/bedroom-cleaning.jpg,Image related to: Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police
7,7,https://i.insider.com/64e6352b912f290019a9b054?width=700,Image related to: Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV
8,8,https://media.cnn.com/api/v1/images/stellar/prod/220924143315-01-fiona-puerto-rico-aftermath.jpg?c=original,Image related to: Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage
9,9,https://img.freepik.com/premium-photo/african-children-sit-boat-migrant-journey-europe-concept-documentary-photography-migrant-crisis-african-childhood-voyages-refugees_918839-232888.jpg,Image related to: How A New Documentary Captures The Complexity Of Being A Child Of Immigrants
10,10,https://media13.s-nbcnews.com/i/mpx/2704722219/2024_09/tm-biden-unga-1-jrt0oa.jpg,Image related to: Biden At UN To Call Russian War An Affront To Body's Charter
11,11,https://images.hindustantimes.com/img/2022/11/21/1600x900/WCup-Armband-Dispute-Soccer-0_1669031075995_1669031075995_1669031097860_1669031097860.jpg,Image related to: World Cup Captains Want To Wear Rainbow Armbands In Qatar
12,12,https://c.ndtvimg.com/2024-10/obu13c6_israel-us-man-sets-arm-on-fire_625x300_06_October_24.jpeg,Image related to: Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe
13,13,https://i.cbc.ca/1.6596017.1664207466!/fileImage/httpImage/image.JPG_gen/derivatives/4x3_1180/port-aux-basques.JPG,Image related to: Fiona Threatens To Become Category 4 Storm Headed To Bermuda
14,14,https://bitcoinworld.co.in/wp-content/uploads/australia-ba.png,"Image related to: Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000"
15,15,https://static01.nyt.com/images/2022/09/21/us/politics/21dc-ginni-1/21dc-ginni-1-superJumbo.jpg,Image related to: Virginia Thomas Agrees To Interview With Jan. 6 Panel
16,16,https://i.pinimg.com/originals/26/67/a1/2667a1d8711db17ecb82f87219111bd2.jpg,Image related to: Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80
17,17,https://toolbox.igus.com/wp-content/uploads/2024/08/engineer-with-humanoid-robot.jpg,Image related to: 'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots
18,18,https://i.dailymail.co.uk/1s/2022/09/20/19/62627247-11232025-image-m-62_1663696842960.jpg,"Image related to: Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89"
19,19,https://media.npr.org/assets/img/2022/09/27/gettyimages-1243538172_custom-c0f61b9c53f7aad5ec5976d6c4a6bf87db7b4fb5.jpg,Image related to: 4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia
20,20,https://s.abcnews.com/images/GMA/220918_gma_oquendo2_hpMain_16x9_1600.jpg,Image related to: Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane
21,21,https://cloudfront-us-east-1.images.arcpublishing.com/tgam/MRFCAWWZCVJARBH6XRKJUUMGIE.jpg,Image related to: Golden Globes Returning To NBC In January After Year Off-Air
22,22,https://upload.wikimedia.org/wikipedia/commons/5/5d/President_Biden_met_with_President_Xi_of_the_PRC_before_the_2022_G20_Bali_Summit.jpg,Image related to: Biden Says U.S. Forces Would Defend Taiwan If China Invaded
23,23,https://globalnews.ca/wp-content/uploads/2022/09/Hurricane-Fiora-damage-Dominican-Republic-3.jpg?quality=85&strip=all&w=1200,Image related to: Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico
24,24,https://globalnews.ca/wp-content/uploads/2011/09/renoplanecrash620476.jpg?quality=85&strip=all,Image related to: One Dead After Plane Crashes At Reno Air Race
25,25,https://www.vmcdn.ca/f/files/sudbury/uploadedImages/news/lifestyle/2024/06/290624_hu_ukrainianfestival/290624_hu_ukrainianfestival_1.jpg;w=960;h=640;bgcolor=000000,Image related to: ‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year
